,,,-1.8700002E-3,0.0,,,,,-1.8700002E-3,0.0,
,,,-1.8680001E-3,0.0,,,,,-1.8680001E-3,0.0,
,,,-1.8660001E-3,0.0,,,,,-1.8660001E-3,0.0,
,,,-1.8640001E-3,0.0,,,,,-1.8640001E-3,0.0,
,,,-1.8620002E-3,0.0,,,,,-1.8620002E-3,79.999998212E-3,
,,,-1.8600002E-3,0.0,,,,,-1.8600002E-3,79.999998212E-3,
,,,-1.8580002E-3,0.0,,,,,-1.8580002E-3,0.0,
,,,-1.8560002E-3,0.0,,,,,-1.8560002E-3,0.0,
,,,-1.8540001E-3,0.0,,,,,-1.8540001E-3,0.0,
,,,-1.8520001E-3,0.0,,,,,-1.8520001E-3,0.0,
,,,-1.8500001E-3,79.999998212E-3,,,,,-1.8500001E-3,79.999998212E-3,
,,,-1.8480001E-3,0.0,,,,,-1.8480001E-3,79.999998212E-3,
,,,-1.8460002E-3,0.0,,,,,-1.8460002E-3,79.999998212E-3,
,,,-1.8440002E-3,79.999998212E-3,,,,,-1.8440002E-3,0.0,
,,,-1.8420002E-3,0.0,,,,,-1.8420002E-3,79.999998212E-3,
,,,-1.8400002E-3,79.999998212E-3,,,,,-1.8400002E-3,0.0,
,,,-1.8380001E-3,0.0,,,,,-1.8380001E-3,79.999998212E-3,
,,,-1.8360001E-3,0.0,,,,,-1.8360001E-3,79.999998212E-3,
,,,-1.8340001E-3,0.0,,,,,-1.8340001E-3,0.0,
,,,-1.8320002E-3,0.0,,,,,-1.8320002E-3,79.999998212E-3,
,,,-1.8300002E-3,0.0,,,,,-1.8300002E-3,79.999998212E-3,
,,,-1.8280002E-3,0.0,,,,,-1.8280002E-3,0.0,
,,,-1.8260002E-3,0.0,,,,,-1.8260002E-3,79.999998212E-3,
,,,-1.8240002E-3,0.0,,,,,-1.8240002E-3,79.999998212E-3,
,,,-1.8220001E-3,0.0,,,,,-1.8220001E-3,0.0,
,,,-1.8200001E-3,0.0,,,,,-1.8200001E-3,0.0,
,,,-1.8180001E-3,0.0,,,,,-1.8180001E-3,79.999998212E-3,
